pk,run_id,zooniverse_id,projection,algorithm,number_of_clusters,expected_number_of_clusters,mean_distances_from_clusters,parameters
1015,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,3,9,21.57118,275.00000
1016,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,3,9,21.57118,280.00000
962,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,21,9,21.59531,10.00000
963,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,19,9,21.96207,15.00000
1050,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,4,14,22.04504,110.00000
981,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,5,9,22.14524,105.00000
1041,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,7,14,22.21408,65.00000
1045,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,4,14,22.23033,85.00000
832,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,42,8,22.24938,40.00000
1052,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,4,14,22.25293,120.00000
1053,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,4,14,22.25293,125.00000
1051,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,4,14,22.25293,115.00000
1044,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,5,14,22.31445,80.00000
964,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,17,9,22.32099,20.00000
965,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,15,9,22.32099,25.00000
1042,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,5,14,22.32877,70.00000
831,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,47,8,22.33271,35.00000
1024,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,DBSCAN,16,14,22.45296,20.00000
1043,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,5,14,22.76456,75.00000
1063,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,2,14,22.97964,175.00000
985,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,4,9,23.06363,125.00000
986,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,4,9,23.06363,130.00000
984,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,4,9,24.05102,120.00000
817,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,DBSCAN,13,8,24.36262,5.00000
983,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,4,9,24.36878,115.00000
1062,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,2,14,24.68274,170.00000
980,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,6,9,24.81181,100.00000
987,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,4,9,24.91470,135.00000
1023,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,DBSCAN,16,14,24.99338,15.00000
975,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,7,9,25.87574,75.00000
966,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,14,9,26.00191,30.00000
1039,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,8,14,26.06765,55.00000
833,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,40,8,26.22042,45.00000
834,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,39,8,26.27374,50.00000
948,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,1,10,26.87147,280.00000
1021,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,DBSCAN,9,14,26.92486,5.00000
1088,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,KMeans,14,14,27.20728,
978,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,6,9,28.68725,90.00000
